protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1,49,5,0,0,0,1,59741.0
1,20,9,832,0,0,1,21452.0
2,41,9,147,105,0,0,35866.0
1,61,5,0,0,0,1,7996.0
1,45,5,0,0,0,1,87880.0
0,15,9,1480,0,0,1,104977.0
1,23,9,215,19835,0,0,101574.0
1,41,1,0,0,0,1,46234.0
1,45,1,0,0,0,1,22139.0
1,23,9,339,8292,0,0,47970.0
1,23,9,307,254,0,0,51190.0
1,55,5,0,0,0,1,80737.0
1,18,5,0,0,0,1,100516.0
1,23,9,342,753,0,0,21549.0
1,23,9,226,986,0,0,48840.0
1,23,9,221,1212,0,0,52944.0
1,23,9,198,279,0,0,44668.0
1,36,5,0,0,0,1,19543.0
1,20,9,63,0,0,0,10322.0
1,49,9,726,335,0,0,121419.0
1,20,9,175337,0,0,0,16691.0
1,55,5,0,0,0,1,96256.0
2,12,9,105,45,0,0,48027.0
1,20,9,10073,0,0,0,54989.0
1,51,5,0,0,0,1,101012.0
1,45,5,0,0,0,1,103027.0
1,45,5,0,0,0,1,15883.0
1,10,5,0,0,0,1,39788.0
0,60,9,181,0,0,0,72.0
1,23,9,249,1706,0,0,80881.0
1,45,5,0,0,0,1,120144.0
1,23,9,319,2572,0,0,51608.0
1,23,9,213,1408,0,0,39207.0
1,41,1,0,0,0,1,61667.0
1,13,2,0,0,0,1,59041.0
1,41,1,0,0,0,1,63343.0
2,12,9,44,69,0,0,14945.0
1,4,9,14,37,0,0,63518.0
1,45,5,0,0,0,1,94774.0
1,23,5,0,0,0,1,1638.0
1,23,9,188,4051,0,0,78001.0
2,41,9,147,105,0,0,3755.0
1,23,9,218,4741,0,0,10753.0
1,18,9,9,141,0,0,29981.0
1,45,5,0,0,0,1,107010.0
1,32,5,0,0,0,1,105095.0
1,23,1,0,0,0,1,26550.0
0,14,9,8,0,0,1,43896.0
1,58,2,0,0,0,1,49355.0
1,23,9,342,659,0,0,7224.0
1,11,5,0,0,0,1,47901.0
1,23,9,301,1870,0,0,84338.0
1,45,5,0,0,0,1,43224.0
1,20,9,95,0,0,0,24847.0
1,31,5,0,0,0,1,91075.0
1,4,1,0,0,0,1,57145.0
1,23,9,273,316,0,0,27071.0
1,49,9,2456,479,0,0,40223.0
1,45,5,0,0,0,1,105178.0
1,17,5,0,0,0,1,32961.0
1,55,2,126,179,0,1,21822.0
1,23,9,203,12922,0,0,98633.0
1,23,9,286,365,0,0,5677.0
1,34,5,0,0,0,1,62176.0
1,23,9,305,2698,0,0,50586.0
1,23,9,248,851,0,0,68228.0
1,23,9,265,1791,0,0,110643.0
1,23,9,232,1374,0,0,125676.0
1,11,5,0,0,0,1,87266.0
1,45,1,0,0,0,1,14927.0
1,23,9,325,2575,0,0,99802.0
1,23,9,208,919,0,0,85476.0
1,49,9,975,326,0,0,64312.0
1,62,1,0,0,0,1,1354.0
1,54,5,0,0,0,1,64559.0
1,23,9,287,788,0,0,90696.0
1,23,9,235,7886,0,0,104016.0
1,49,5,0,0,0,1,52272.0
1,45,5,0,0,0,1,11199.0
1,49,9,751,338,0,0,30928.0
0,60,9,183,0,0,0,98837.0
1,45,5,0,0,0,1,32295.0
1,41,5,0,0,0,1,114934.0
1,23,9,204,3541,0,0,123531.0
1,49,9,1602,336,0,0,31705.0
1,31,5,0,0,0,1,86831.0
2,41,9,146,105,0,0,25566.0
2,41,9,1,0,0,1,123524.0
1,24,5,0,0,0,1,8659.0
1,23,9,303,1555,0,0,87016.0
2,12,9,44,71,0,0,25413.0
1,61,2,0,0,0,1,118208.0
1,45,5,0,0,0,1,40147.0
1,45,4,0,0,0,1,73830.0
1,54,1,0,0,0,0,33799.0
1,35,5,0,0,0,1,97343.0
1,45,5,0,0,0,1,55555.0
1,45,1,0,0,0,1,90207.0
1,20,9,192,0,0,0,28967.0
1,45,5,0,0,0,1,75831.0
1,23,9,245,167,0,0,21893.0
1,23,9,148,17425,0,0,109085.0
2,45,9,105,147,0,0,119096.0
1,8,5,0,0,0,1,54863.0
1,20,9,383,0,0,0,75568.0
1,49,9,1119,330,0,0,7619.0
1,0,6,43505,46584,0,0,116457.0
1,35,1,0,0,0,1,66632.0
2,12,9,44,114,0,0,99361.0
1,45,5,0,0,0,1,79884.0
1,45,5,0,0,0,1,103554.0
1,23,9,246,1701,0,0,108604.0
1,23,9,360,638,0,0,90238.0
1,49,9,1356,403,0,0,102777.0
1,62,5,0,0,0,1,94396.0
1,20,9,334,0,0,1,50085.0
2,12,9,44,129,0,0,26724.0
2,12,9,45,132,0,0,11115.0
1,27,5,0,0,0,1,20393.0
1,49,9,11732,1435,0,0,71695.0
2,12,9,46,78,0,0,100312.0
1,30,5,0,0,0,1,111131.0
2,12,9,45,137,0,0,85371.0
0,14,9,30,0,0,0,17312.0
1,23,9,139,29859,0,0,92705.0
1,23,9,287,511,0,0,47431.0
1,36,1,0,0,0,1,93470.0
1,23,9,204,3502,0,0,34764.0
1,23,9,331,1862,0,0,35891.0
1,23,9,311,304,0,0,35073.0
2,12,9,45,131,0,0,106132.0
1,23,9,289,3428,0,0,78396.0
1,18,9,5,136,0,0,79856.0
1,45,1,0,0,0,1,125002.0
2,41,9,146,105,0,0,63415.0
1,41,5,0,0,0,1,102298.0
1,23,1,0,0,0,1,58125.0
1,23,9,208,1660,0,0,39039.0
2,41,9,147,0,0,0,55991.0
2,12,9,45,73,0,0,21685.0
1,58,2,0,0,0,1,106064.0
1,55,5,0,0,0,1,3492.0
2,12,9,99,37,0,0,117209.0
1,58,2,0,0,0,1,55075.0
1,24,5,0,0,0,1,45541.0
1,29,5,0,0,0,1,77491.0
1,23,9,235,512,0,0,1179.0
1,7,5,0,0,0,1,108287.0
1,45,5,0,0,0,1,110033.0
1,45,1,0,0,0,1,90080.0
1,25,5,0,0,0,1,14401.0
1,23,9,210,279,0,0,8601.0
0,14,9,8,0,0,1,92331.0
1,49,9,641,335,0,0,106484.0
1,23,1,0,0,0,1,109946.0
1,18,5,0,0,0,1,73237.0
1,23,9,195,1521,0,0,68057.0
1,45,5,0,0,0,1,77458.0
1,20,9,192,0,0,0,123850.0
1,45,5,0,0,0,1,87664.0
1,45,5,0,0,0,1,94095.0
1,45,3,0,0,0,1,20916.0
0,14,9,8,0,0,1,83320.0
