protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1,44,5,0,0,0,0,80200.0
1,21,5,0,0,0,0,14969.0
1,22,9,295,2794,0,0,25586.0
1,53,9,6,0,0,0,105142.0
1,23,5,0,0,0,0,11100.0
1,45,5,0,0,0,0,5907.0
2,45,9,105,146,0,0,38696.0
1,45,10,0,0,0,0,87192.0
2,45,9,28,0,0,0,69142.0
1,22,9,201,369,0,0,120605.0
1,45,1,0,0,0,0,26473.0
2,11,9,43,73,0,0,30084.0
1,60,5,0,0,0,0,51826.0
1,19,9,748,0,0,0,71453.0
1,50,9,1028,330,0,0,73070.0
1,45,5,0,0,0,0,40185.0
1,18,9,1199,2447,0,0,16532.0
1,63,5,0,0,0,0,125489.0
1,22,9,194,290,0,0,34593.0
1,50,9,840,327,0,0,107400.0
1,22,5,0,0,0,0,69083.0
2,11,9,45,118,0,0,96650.0
1,22,9,299,711,0,0,35129.0
1,19,9,12,0,0,0,78630.0
1,45,3,0,0,0,0,73168.0
1,45,5,0,0,0,0,60260.0
1,22,9,335,580,0,0,22598.0
1,22,9,214,1271,0,0,64634.0
0,13,9,8,0,0,0,117731.0
1,41,5,0,0,0,0,31498.0
2,11,9,43,133,0,0,55713.0
1,45,5,0,0,0,0,91367.0
2,45,9,1,74,0,0,78271.0
2,45,9,1,0,0,0,46892.0
1,29,1,0,0,0,0,11756.0
1,45,1,0,0,0,0,40114.0
1,45,4,0,0,0,0,62743.0
1,50,5,0,0,0,0,61861.0
1,32,5,0,0,0,0,44876.0
1,63,5,0,0,0,0,42087.0
1,22,9,276,2323,0,0,96955.0
1,63,5,0,0,0,0,107658.0
2,11,9,45,130,0,0,90909.0
1,19,9,740,0,0,0,15782.0
1,45,1,0,0,0,0,6050.0
1,41,4,1,0,0,0,99125.0
1,50,9,1384,324,0,0,124033.0
1,45,5,0,0,0,0,23918.0
1,22,9,324,1125,0,0,6185.0
1,22,9,210,182,0,0,96963.0
1,22,9,230,2013,0,0,84859.0
0,13,9,8,0,0,0,20585.0
1,22,9,328,2536,0,0,45819.0
1,22,9,193,1233,0,0,35871.0
1,19,9,12,0,0,0,55074.0
1,45,5,0,0,0,0,120576.0
1,38,5,0,0,0,0,26240.0
1,25,9,0,0,0,0,64805.0
1,19,1,0,0,0,0,101335.0
1,22,9,196,9976,0,0,120070.0
1,33,5,0,0,0,0,27795.0
2,11,9,31,91,0,0,95136.0
1,45,1,0,0,0,0,20838.0
1,27,5,0,0,0,0,3105.0
1,45,5,0,0,0,0,22705.0
1,45,5,0,0,0,0,24279.0
1,22,1,0,0,0,0,43703.0
1,22,9,305,2217,0,0,76201.0
1,22,1,0,0,0,0,60876.0
1,53,5,0,0,0,0,13126.0
1,22,9,294,1600,0,0,13399.0
1,45,5,0,0,0,0,80406.0
1,45,1,0,0,0,0,104926.0
1,22,9,212,847,0,0,57814.0
1,22,9,218,2345,0,0,46776.0
2,11,9,44,138,0,0,47003.0
1,31,5,0,0,0,0,111291.0
1,29,5,0,0,0,0,77286.0
1,22,9,219,607,0,0,40629.0
1,18,9,344,1069,0,0,80753.0
2,41,9,146,105,0,0,86434.0
1,45,5,0,0,0,0,40782.0
0,59,9,182,0,0,0,12025.0
1,22,9,300,1857,0,0,121324.0
1,21,1,0,0,0,0,24831.0
1,4,5,0,0,0,0,38558.0
1,22,9,233,4721,0,0,51964.0
0,13,9,8,0,0,0,51057.0
2,41,9,145,105,0,0,49034.0
2,41,9,145,105,0,0,35857.0
1,63,1,0,0,0,0,125825.0
1,56,5,0,0,0,0,111765.0
1,22,9,54540,8314,0,0,41897.0
1,17,5,0,0,0,0,90704.0
1,22,9,242,1286,0,0,45533.0
1,15,5,0,0,0,0,109105.0
1,3,5,0,0,0,0,123120.0
1,22,1,0,0,0,0,35283.0
1,22,9,198,22129,0,0,85205.0
1,56,5,0,0,0,0,21109.0
1,22,9,309,1425,0,0,111129.0
1,22,9,202,7535,0,0,121669.0
1,19,9,16787,0,0,0,13073.0
0,14,9,1032,0,0,0,81591.0
2,45,9,28,0,0,0,76207.0
1,31,2,0,0,0,0,6540.0
2,11,9,43,66,0,0,111322.0
1,22,9,232,1075,0,0,90379.0
2,45,9,105,147,0,0,84749.0
1,45,5,0,0,0,0,56886.0
1,22,9,298,5336,0,0,74368.0
1,22,9,235,2698,0,0,80565.0
1,22,9,202,6489,0,0,12864.0
1,45,5,0,0,0,0,41394.0
1,50,9,6,125,0,0,91252.0
1,22,9,306,607,0,0,75624.0
1,22,9,294,545,0,0,76576.0
0,13,9,8,0,0,0,4510.0
1,22,9,344,3608,0,0,48822.0
1,45,4,1,0,0,0,12555.0
1,22,9,223,417,0,0,68035.0
1,22,9,348,4296,0,0,91771.0
1,18,9,1518,4152,0,0,27391.0
1,19,9,71,0,0,0,92471.0
1,22,9,483,10576,0,0,120660.0
1,5,5,0,0,0,0,35995.0
2,41,9,146,105,0,0,59389.0
1,27,5,0,0,0,0,55354.0
1,22,9,330,538,0,0,2131.0
1,45,1,0,0,0,0,61169.0
1,22,9,317,3410,0,0,45843.0
1,22,9,216,1353,0,0,4753.0
1,22,9,233,1055,0,0,105227.0
1,22,9,217,2654,0,0,17454.0
1,31,5,0,0,0,0,22583.0
1,19,9,748,0,0,0,49545.0
1,22,9,342,309,0,0,38910.0
1,22,9,298,2322,0,0,16462.0
1,45,0,0,0,0,0,17748.0
0,13,9,8,0,0,0,59226.0
1,17,5,0,0,0,0,83731.0
1,33,5,0,0,0,0,117310.0
1,37,5,0,0,0,0,85545.0
1,22,9,189,8758,0,0,95603.0
2,11,9,45,135,0,0,91547.0
1,36,5,0,0,0,0,113256.0
1,22,9,281,1000,0,0,119327.0
2,11,9,44,44,0,0,78497.0
1,50,9,16726,336,0,0,19769.0
2,41,9,516,4,0,0,4624.0
1,22,9,312,284,0,0,24291.0
1,45,5,0,0,0,0,50560.0
1,22,9,223,10378,0,0,115106.0
1,56,9,674,99836,0,0,90366.0
1,22,9,263,5264,0,0,22744.0
1,22,9,211,472,0,0,113659.0
1,19,9,1339,0,0,0,67670.0
1,45,4,0,0,0,0,31792.0
1,22,9,183,361,0,0,37284.0
1,38,1,0,0,0,0,113931.0
1,22,9,299,560,0,0,47601.0
2,11,9,42,72,0,0,71278.0
1,45,5,0,0,0,0,7351.0
1,22,9,267,245,0,0,81788.0
1,22,9,225,294,0,0,108952.0
1,22,9,228,262,0,0,7670.0
1,17,5,0,0,0,0,35773.0
1,22,9,245,2229,0,0,99849.0
1,19,9,334,0,0,0,37901.0
1,19,9,7077,0,0,0,4743.0
2,41,9,147,0,0,0,33995.0
1,22,1,0,0,0,0,104038.0
1,22,9,382,400,0,0,77746.0
1,22,9,232,13593,0,0,85116.0
1,41,1,0,0,0,0,72432.0
1,45,5,0,0,0,0,20958.0
1,45,1,0,0,0,0,26015.0
1,50,9,954,328,0,0,2656.0
1,50,9,1871,331,0,0,61157.0
2,41,9,147,105,0,0,94880.0
2,11,9,43,43,0,0,123536.0
1,22,9,306,788,0,0,62657.0
0,13,9,8,0,0,0,65925.0
1,45,5,0,0,0,0,71150.0
1,22,9,302,4199,0,0,54647.0
0,14,9,1032,0,0,0,53217.0
1,22,9,307,566,0,0,40339.0
0,13,9,30,0,0,0,33017.0
1,45,1,0,0,0,0,87794.0
2,11,9,44,78,0,0,97882.0
1,22,9,208,5940,0,0,113917.0
0,59,9,78,0,0,0,14428.0
1,30,5,0,0,0,0,38506.0
2,41,9,1,0,0,0,23253.0
1,19,9,26408,0,0,0,100612.0
1,4,1,0,0,0,0,88272.0
1,18,9,663,2077,0,0,90797.0
1,56,2,0,0,0,0,80460.0
1,36,1,0,0,0,0,38604.0
0,14,9,30,0,0,0,56568.0
1,22,1,0,0,0,0,3863.0
2,45,9,28,0,0,0,116925.0
1,50,9,11649,1380,0,0,28830.0
1,45,5,0,0,0,0,8837.0
1,22,9,218,345,0,0,60189.0
0,13,9,8,0,0,0,39704.0
1,22,9,241,573,0,0,28831.0
1,22,9,234,20264,0,0,28987.0
1,45,5,0,0,0,0,104335.0
1,22,9,314,810,0,0,100916.0
2,45,9,28,0,0,0,102213.0
1,19,9,334,0,0,0,550.0
1,22,9,214,6928,0,0,47655.0
1,50,9,2061,335,0,0,16544.0
1,22,9,321,1259,0,0,79904.0
1,22,9,291,261,0,0,84276.0
1,22,9,296,280,0,0,125861.0
1,22,9,293,128,0,0,71727.0
1,22,9,331,1252,0,0,7962.0
1,22,9,244,2211,0,0,1834.0
1,22,9,221,188,0,0,95107.0
2,11,9,45,130,0,0,100392.0
1,17,5,0,0,0,0,123886.0
0,13,9,8,0,0,0,71794.0
1,54,5,0,0,0,0,75576.0
1,22,1,0,0,0,0,63348.0
1,45,1,0,0,0,0,6511.0
1,22,9,216,421,0,0,59705.0
1,45,5,0,0,0,0,120592.0
1,35,5,0,0,0,0,108213.0
2,11,9,44,128,0,0,116195.0
1,26,5,0,0,0,0,103464.0
1,45,5,0,0,0,0,110244.0
1,22,9,223,622,0,0,87619.0
1,50,9,1296,336,0,0,71001.0
1,53,5,0,0,0,0,29764.0
1,50,9,623,437,0,0,10817.0
1,22,9,291,1236,0,0,82170.0
1,45,1,0,0,0,0,31549.0
1,22,9,200,6329,0,0,110496.0
1,25,5,0,0,0,0,56271.0
1,17,2,0,0,0,0,117166.0
1,41,4,1,0,0,0,4522.0
0,13,9,8,0,0,0,42236.0
1,45,1,0,0,0,0,70982.0
0,13,9,8,0,0,0,66090.0
1,27,1,0,0,0,0,6624.0
1,45,1,0,0,0,0,24337.0
1,34,5,0,0,0,0,2982.0
1,45,5,0,0,0,0,19059.0
0,14,9,1032,0,0,0,67912.0
1,22,9,210,299,0,0,64492.0
1,22,9,277,537,0,0,20348.0
2,45,9,105,147,0,0,101352.0
1,19,9,10389,0,0,0,80479.0
1,51,5,0,0,0,0,60488.0
1,50,9,534,281,0,0,40875.0
1,50,9,1304,330,0,0,19638.0
1,22,9,295,310,0,0,54333.0
1,22,9,211,124,0,0,49784.0
1,22,9,217,956,0,0,79118.0
0,59,9,151,0,0,0,60383.0
1,50,9,1670,329,0,0,64251.0
